"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","word","color","congruency","correct"
"547","Welcome to the experiment. Press any key to begin."," ","html-keyboard-response","0","549","0.0-0.0","","","","","",""
"896","
    <p>In this task, you will see word in a color</p>
    <p style='color:red;font-size:60pt;'>BLUE</p>
    <p>Press r, g, b, or y to identify the color, not the word</p>
    <p>E.g., press r for red in this example</p>
    <p>Make your responses as quickly and accurately as possible</p>
    <p>Press any key to begin.</p>
    "," ","html-keyboard-response","1","1447","0.0-1.0","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","4451","0.0-2.0-0.0","fixation","","","","",""
"787","<p style='color:red;font-size:60pt;'>YELLOW</p>","r","html-keyboard-response","3","5239","0.0-2.0-1.0","stroop","r","YELLOW","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","6241","0.0-2.0-0.1","fixation","","","","",""
"541","<p style='color:green;font-size:60pt;'>GREEN</p>","g","html-keyboard-response","5","6784","0.0-2.0-1.1","stroop","g","GREEN","green","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","7786","0.0-2.0-0.2","fixation","","","","",""
"701","<p style='color:red;font-size:60pt;'>GREEN</p>","r","html-keyboard-response","7","8489","0.0-2.0-1.2","stroop","r","GREEN","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","9492","0.0-2.0-0.3","fixation","","","","",""
"615","<p style='color:blue;font-size:60pt;'>RED</p>","b","html-keyboard-response","9","10110","0.0-2.0-1.3","stroop","b","RED","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","12112","0.0-2.0-0.4","fixation","","","","",""
"785","<p style='color:blue;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","11","12899","0.0-2.0-1.4","stroop","b","YELLOW","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","13902","0.0-2.0-0.5","fixation","","","","",""
"729","<p style='color:yellow;font-size:60pt;'>RED</p>","y","html-keyboard-response","13","14632","0.0-2.0-1.5","stroop","y","RED","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","16635","0.0-2.0-0.6","fixation","","","","",""
"1326","<p style='color:green;font-size:60pt;'>RED</p>","g","html-keyboard-response","15","17963","0.0-2.0-1.6","stroop","g","RED","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","19965","0.0-2.0-0.7","fixation","","","","",""
"492","<p style='color:blue;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","17","20459","0.0-2.0-1.7","stroop","b","BLUE","blue","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","22462","0.0-2.0-0.8","fixation","","","","",""
"821","<p style='color:green;font-size:60pt;'>BLUE</p>","r","html-keyboard-response","19","23284","0.0-2.0-1.8","stroop","g","BLUE","green","Incongruent","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","25286","0.0-2.0-0.9","fixation","","","","",""
"708","<p style='color:blue;font-size:60pt;'>GREEN</p>","b","html-keyboard-response","21","25995","0.0-2.0-1.9","stroop","b","GREEN","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","27997","0.0-2.0-0.10","fixation","","","","",""
"899","<p style='color:red;font-size:60pt;'>BLUE</p>","r","html-keyboard-response","23","28898","0.0-2.0-1.10","stroop","r","BLUE","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","29900","0.0-2.0-0.11","fixation","","","","",""
"548","<p style='color:yellow;font-size:60pt;'>GREEN</p>","y","html-keyboard-response","25","30450","0.0-2.0-1.11","stroop","y","GREEN","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","32452","0.0-2.0-0.12","fixation","","","","",""
"527","<p style='color:yellow;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","27","32981","0.0-2.0-1.12","stroop","y","YELLOW","yellow","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","33984","0.0-2.0-0.13","fixation","","","","",""
"538","<p style='color:yellow;font-size:60pt;'>BLUE</p>","y","html-keyboard-response","29","34523","0.0-2.0-1.13","stroop","y","BLUE","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","36526","0.0-2.0-0.14","fixation","","","","",""
"1168","<p style='color:green;font-size:60pt;'>YELLOW</p>","g","html-keyboard-response","31","37695","0.0-2.0-1.14","stroop","g","YELLOW","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","39698","0.0-2.0-0.15","fixation","","","","",""
"606","<p style='color:red;font-size:60pt;'>RED</p>","r","html-keyboard-response","33","40306","0.0-2.0-1.15","stroop","r","RED","red","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","42308","0.0-2.0-0.16","fixation","","","","",""
"562","<p style='color:yellow;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","35","42872","0.0-2.0-1.16","stroop","y","YELLOW","yellow","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","43874","0.0-2.0-0.17","fixation","","","","",""
"592","<p style='color:yellow;font-size:60pt;'>GREEN</p>","y","html-keyboard-response","37","44468","0.0-2.0-1.17","stroop","y","GREEN","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","46470","0.0-2.0-0.18","fixation","","","","",""
"472","<p style='color:yellow;font-size:60pt;'>RED</p>","y","html-keyboard-response","39","46943","0.0-2.0-1.18","stroop","y","RED","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","48945","0.0-2.0-0.19","fixation","","","","",""
"662","<p style='color:blue;font-size:60pt;'>GREEN</p>","b","html-keyboard-response","41","49609","0.0-2.0-1.19","stroop","b","GREEN","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","51611","0.0-2.0-0.20","fixation","","","","",""
"528","<p style='color:yellow;font-size:60pt;'>BLUE</p>","y","html-keyboard-response","43","52141","0.0-2.0-1.20","stroop","y","BLUE","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","53144","0.0-2.0-0.21","fixation","","","","",""
"683","<p style='color:green;font-size:60pt;'>GREEN</p>","g","html-keyboard-response","45","53828","0.0-2.0-1.21","stroop","g","GREEN","green","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","54830","0.0-2.0-0.22","fixation","","","","",""
"480","<p style='color:blue;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","47","55312","0.0-2.0-1.22","stroop","b","BLUE","blue","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","56314","0.0-2.0-0.23","fixation","","","","",""
"685","<p style='color:red;font-size:60pt;'>BLUE</p>","r","html-keyboard-response","49","57001","0.0-2.0-1.23","stroop","r","BLUE","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","58003","0.0-2.0-0.24","fixation","","","","",""
"480","<p style='color:red;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","51","58485","0.0-2.0-1.24","stroop","r","YELLOW","red","Incongruent","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","59487","0.0-2.0-0.25","fixation","","","","",""
"865","<p style='color:red;font-size:60pt;'>GREEN</p>","r","html-keyboard-response","53","60353","0.0-2.0-1.25","stroop","r","GREEN","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","62356","0.0-2.0-0.26","fixation","","","","",""
"786","<p style='color:green;font-size:60pt;'>YELLOW</p>","g","html-keyboard-response","55","63142","0.0-2.0-1.26","stroop","g","YELLOW","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","65145","0.0-2.0-0.27","fixation","","","","",""
"607","<p style='color:green;font-size:60pt;'>BLUE</p>","g","html-keyboard-response","57","65753","0.0-2.0-1.27","stroop","g","BLUE","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","67755","0.0-2.0-0.28","fixation","","","","",""
"652","<p style='color:blue;font-size:60pt;'>RED</p>","b","html-keyboard-response","59","68408","0.0-2.0-1.28","stroop","b","RED","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","70410","0.0-2.0-0.29","fixation","","","","",""
"608","<p style='color:red;font-size:60pt;'>RED</p>","r","html-keyboard-response","61","71019","0.0-2.0-1.29","stroop","r","RED","red","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","73021","0.0-2.0-0.30","fixation","","","","",""
"718","<p style='color:green;font-size:60pt;'>RED</p>","g","html-keyboard-response","63","73740","0.0-2.0-1.30","stroop","g","RED","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","75742","0.0-2.0-0.31","fixation","","","","",""
"562","<p style='color:blue;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","65","76306","0.0-2.0-1.31","stroop","b","YELLOW","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","78308","0.0-2.0-0.32","fixation","","","","",""
"560","<p style='color:blue;font-size:60pt;'>GREEN</p>","b","html-keyboard-response","67","78870","0.0-2.0-1.32","stroop","b","GREEN","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","79872","0.0-2.0-0.33","fixation","","","","",""
