"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","word","color","congruency","correct"
"618","<p style='color:red;font-size:60pt;'>RED</p>","g","html-keyboard-response","69","80491","0.0-2.0-1.33","stroop","r","RED","red","Congruent","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","82493","0.0-2.0-0.34","fixation","","","","",""
"517","<p style='color:yellow;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","71","83012","0.0-2.0-1.34","stroop","y","YELLOW","yellow","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","85014","0.0-2.0-0.35","fixation","","","","",""
"649","<p style='color:red;font-size:60pt;'>BLUE</p>","r","html-keyboard-response","73","85665","0.0-2.0-1.35","stroop","r","BLUE","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","74","87668","0.0-2.0-0.36","fixation","","","","",""
"540","<p style='color:green;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","75","88209","0.0-2.0-1.36","stroop","g","BLUE","green","Incongruent","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","90211","0.0-2.0-0.37","fixation","","","","",""
"1213","<p style='color:green;font-size:60pt;'>RED</p>","g","html-keyboard-response","77","91426","0.0-2.0-1.37","stroop","g","RED","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","78","92428","0.0-2.0-0.38","fixation","","","","",""
"503","<p style='color:green;font-size:60pt;'>YELLOW</p>","g","html-keyboard-response","79","92933","0.0-2.0-1.38","stroop","g","YELLOW","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","80","94935","0.0-2.0-0.39","fixation","","","","",""
"719","<p style='color:blue;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","81","95656","0.0-2.0-1.39","stroop","b","BLUE","blue","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","96658","0.0-2.0-0.40","fixation","","","","",""
"595","<p style='color:green;font-size:60pt;'>GREEN</p>","g","html-keyboard-response","83","97254","0.0-2.0-1.40","stroop","g","GREEN","green","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","84","99256","0.0-2.0-0.41","fixation","","","","",""
"538","<p style='color:yellow;font-size:60pt;'>GREEN</p>","y","html-keyboard-response","85","99796","0.0-2.0-1.41","stroop","y","GREEN","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","86","101798","0.0-2.0-0.42","fixation","","","","",""
"540","<p style='color:yellow;font-size:60pt;'>BLUE</p>","y","html-keyboard-response","87","102339","0.0-2.0-1.42","stroop","y","BLUE","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","103341","0.0-2.0-0.43","fixation","","","","",""
"571","<p style='color:yellow;font-size:60pt;'>RED</p>","y","html-keyboard-response","89","103913","0.0-2.0-1.43","stroop","y","RED","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","90","105916","0.0-2.0-0.44","fixation","","","","",""
"742","<p style='color:blue;font-size:60pt;'>RED</p>","b","html-keyboard-response","91","106659","0.0-2.0-1.44","stroop","b","RED","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","92","107662","0.0-2.0-0.45","fixation","","","","",""
"614","<p style='color:red;font-size:60pt;'>GREEN</p>","r","html-keyboard-response","93","108278","0.0-2.0-1.45","stroop","r","GREEN","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","110280","0.0-2.0-0.46","fixation","","","","",""
"628","<p style='color:blue;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","95","110910","0.0-2.0-1.46","stroop","b","YELLOW","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","96","111912","0.0-2.0-0.47","fixation","","","","",""
"505","<p style='color:red;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","97","112419","0.0-2.0-1.47","stroop","r","YELLOW","red","Incongruent","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","98","113421","0.0-2.0-0.48","fixation","","","","",""
"954","<p style='color:green;font-size:60pt;'>RED</p>","g","html-keyboard-response","99","114376","0.0-2.0-1.48","stroop","g","RED","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","100","115378","0.0-2.0-0.49","fixation","","","","",""
"617","<p style='color:blue;font-size:60pt;'>RED</p>","b","html-keyboard-response","101","115996","0.0-2.0-1.49","stroop","b","RED","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","102","117998","0.0-2.0-0.50","fixation","","","","",""
"584","<p style='color:blue;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","103","118584","0.0-2.0-1.50","stroop","b","YELLOW","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","104","119586","0.0-2.0-0.51","fixation","","","","",""
"773","<p style='color:red;font-size:60pt;'>YELLOW</p>","r","html-keyboard-response","105","120361","0.0-2.0-1.51","stroop","r","YELLOW","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","106","122363","0.0-2.0-0.52","fixation","","","","",""
"1012","<p style='color:green;font-size:60pt;'>YELLOW</p>","g","html-keyboard-response","107","123376","0.0-2.0-1.52","stroop","g","YELLOW","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","108","124379","0.0-2.0-0.53","fixation","","","","",""
"685","<p style='color:yellow;font-size:60pt;'>RED</p>","y","html-keyboard-response","109","125064","0.0-2.0-1.53","stroop","y","RED","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","110","126066","0.0-2.0-0.54","fixation","","","","",""
"1112","<p style='color:red;font-size:60pt;'>RED</p>","r","html-keyboard-response","111","127179","0.0-2.0-1.54","stroop","r","RED","red","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","112","128180","0.0-2.0-0.55","fixation","","","","",""
"573","<p style='color:yellow;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","113","128754","0.0-2.0-1.55","stroop","y","YELLOW","yellow","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","114","130756","0.0-2.0-0.56","fixation","","","","",""
"832","<p style='color:green;font-size:60pt;'>GREEN</p>","g","html-keyboard-response","115","131589","0.0-2.0-1.56","stroop","g","GREEN","green","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","116","132591","0.0-2.0-0.57","fixation","","","","",""
"998","<p style='color:red;font-size:60pt;'>BLUE</p>","r","html-keyboard-response","117","133591","0.0-2.0-1.57","stroop","r","BLUE","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","118","135593","0.0-2.0-0.58","fixation","","","","",""
"990","<p style='color:green;font-size:60pt;'>BLUE</p>","g","html-keyboard-response","119","136585","0.0-2.0-1.58","stroop","g","BLUE","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","120","137587","0.0-2.0-0.59","fixation","","","","",""
"571","<p style='color:blue;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","121","138159","0.0-2.0-1.59","stroop","b","BLUE","blue","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","122","139161","0.0-2.0-0.60","fixation","","","","",""
"594","<p style='color:red;font-size:60pt;'>GREEN</p>","r","html-keyboard-response","123","139757","0.0-2.0-1.60","stroop","r","GREEN","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","124","140758","0.0-2.0-0.61","fixation","","","","",""
"1214","<p style='color:blue;font-size:60pt;'>GREEN</p>","b","html-keyboard-response","125","141973","0.0-2.0-1.61","stroop","b","GREEN","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","126","143975","0.0-2.0-0.62","fixation","","","","",""
"618","<p style='color:yellow;font-size:60pt;'>BLUE</p>","y","html-keyboard-response","127","144594","0.0-2.0-1.62","stroop","y","BLUE","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","128","145597","0.0-2.0-0.63","fixation","","","","",""
"818","<p style='color:yellow;font-size:60pt;'>GREEN</p>","y","html-keyboard-response","129","146417","0.0-2.0-1.63","stroop","y","GREEN","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","130","147419","0.0-2.0-0.64","fixation","","","","",""
"1032","<p style='color:green;font-size:60pt;'>RED</p>","g","html-keyboard-response","131","148452","0.0-2.0-1.64","stroop","g","RED","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","132","150454","0.0-2.0-0.65","fixation","","","","",""
"517","<p style='color:yellow;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","133","150972","0.0-2.0-1.65","stroop","y","YELLOW","yellow","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","134","152974","0.0-2.0-0.66","fixation","","","","",""
"777","<p style='color:red;font-size:60pt;'>BLUE</p>","r","html-keyboard-response","135","153752","0.0-2.0-1.66","stroop","r","BLUE","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","136","154755","0.0-2.0-0.67","fixation","","","","",""
"616","<p style='color:green;font-size:60pt;'>BLUE</p>","g","html-keyboard-response","137","155372","0.0-2.0-1.67","stroop","g","BLUE","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","138","156374","0.0-2.0-0.68","fixation","","","","",""
"483","<p style='color:green;font-size:60pt;'>YELLOW</p>","g","html-keyboard-response","139","156858","0.0-2.0-1.68","stroop","g","YELLOW","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","140","157860","0.0-2.0-0.69","fixation","","","","",""
"862","<p style='color:red;font-size:60pt;'>RED</p>","r","html-keyboard-response","141","158724","0.0-2.0-1.69","stroop","r","RED","red","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","142","160726","0.0-2.0-0.70","fixation","","","","",""
"562","<p style='color:yellow;font-size:60pt;'>RED</p>","y","html-keyboard-response","143","161290","0.0-2.0-1.70","stroop","y","RED","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","144","163292","0.0-2.0-0.71","fixation","","","","",""
"651","<p style='color:blue;font-size:60pt;'>GREEN</p>","b","html-keyboard-response","145","163944","0.0-2.0-1.71","stroop","b","GREEN","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","146","165947","0.0-2.0-0.72","fixation","","","","",""
"471","<p style='color:blue;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","147","166420","0.0-2.0-1.72","stroop","b","BLUE","blue","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","148","167422","0.0-2.0-0.73","fixation","","","","",""
"482","<p style='color:yellow;font-size:60pt;'>BLUE</p>","y","html-keyboard-response","149","167905","0.0-2.0-1.73","stroop","y","BLUE","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","150","169907","0.0-2.0-0.74","fixation","","","","",""
"427","<p style='color:blue;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","151","170335","0.0-2.0-1.74","stroop","b","YELLOW","blue","Incongruent","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","152","172337","0.0-2.0-0.75","fixation","","","","",""
"492","<p style='color:blue;font-size:60pt;'>RED</p>","b","html-keyboard-response","153","172831","0.0-2.0-1.75","stroop","b","RED","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","154","173834","0.0-2.0-0.76","fixation","","","","",""
"482","<p style='color:yellow;font-size:60pt;'>GREEN</p>","y","html-keyboard-response","155","174317","0.0-2.0-1.76","stroop","y","GREEN","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","156","176319","0.0-2.0-0.77","fixation","","","","",""
"742","<p style='color:red;font-size:60pt;'>GREEN</p>","r","html-keyboard-response","157","177062","0.0-2.0-1.77","stroop","r","GREEN","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","158","179064","0.0-2.0-0.78","fixation","","","","",""
"764","<p style='color:green;font-size:60pt;'>GREEN</p>","g","html-keyboard-response","159","179830","0.0-2.0-1.78","stroop","g","GREEN","green","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","160","180832","0.0-2.0-0.79","fixation","","","","",""
"1247","<p style='color:red;font-size:60pt;'>YELLOW</p>","r","html-keyboard-response","161","182080","0.0-2.0-1.79","stroop","r","YELLOW","red","Incongruent","true"
