"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","word","color","congruency","correct"
"191125","Welcome to the experiment. Press any key to begin."," ","html-keyboard-response","0","191126","0.0-0.0","","","","","",""
"838","
    <p>In this task, you will see word in a color</p>
    <p style='color:red;font-size:60pt;'>BLUE</p>
    <p>Press r, g, b, or y to identify the color, not the word</p>
    <p>E.g., press r for red in this example</p>
    <p>Make your responses as quickly and accurately as possible</p>
    <p>Press any key to begin.</p>
    "," ","html-keyboard-response","1","191967","0.0-1.0","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","194971","0.0-2.0-0.0","fixation","","","","",""
"727","<p style='color:green;font-size:60pt;'>BLUE</p>","g","html-keyboard-response","3","195701","0.0-2.0-1.0","stroop","g","BLUE","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","196704","0.0-2.0-0.1","fixation","","","","",""
"751","<p style='color:blue;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","5","197457","0.0-2.0-1.1","stroop","b","YELLOW","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","199460","0.0-2.0-0.2","fixation","","","","",""
"718","<p style='color:red;font-size:60pt;'>BLUE</p>","r","html-keyboard-response","7","200179","0.0-2.0-1.2","stroop","r","BLUE","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","202182","0.0-2.0-0.3","fixation","","","","",""
"1033","<p style='color:green;font-size:60pt;'>GREEN</p>","g","html-keyboard-response","9","203217","0.0-2.0-1.3","stroop","g","GREEN","green","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","205220","0.0-2.0-0.4","fixation","","","","",""
"650","<p style='color:blue;font-size:60pt;'>RED</p>","b","html-keyboard-response","11","205872","0.0-2.0-1.4","stroop","b","RED","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","207874","0.0-2.0-0.5","fixation","","","","",""
"674","<p style='color:red;font-size:60pt;'>GREEN</p>","r","html-keyboard-response","13","208549","0.0-2.0-1.5","stroop","r","GREEN","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","210551","0.0-2.0-0.6","fixation","","","","",""
"606","<p style='color:red;font-size:60pt;'>YELLOW</p>","r","html-keyboard-response","15","211159","0.0-2.0-1.6","stroop","r","YELLOW","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","213161","0.0-2.0-0.7","fixation","","","","",""
"583","<p style='color:yellow;font-size:60pt;'>BLUE</p>","y","html-keyboard-response","17","213746","0.0-2.0-1.7","stroop","y","BLUE","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","214748","0.0-2.0-0.8","fixation","","","","",""
"550","<p style='color:yellow;font-size:60pt;'>RED</p>","y","html-keyboard-response","19","215299","0.0-2.0-1.8","stroop","y","RED","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","216301","0.0-2.0-0.9","fixation","","","","",""
"515","<p style='color:yellow;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","21","216817","0.0-2.0-1.9","stroop","y","YELLOW","yellow","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","218820","0.0-2.0-0.10","fixation","","","","",""
"573","<p style='color:blue;font-size:60pt;'>GREEN</p>","b","html-keyboard-response","23","219394","0.0-2.0-1.10","stroop","b","GREEN","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","220396","0.0-2.0-0.11","fixation","","","","",""
"627","<p style='color:yellow;font-size:60pt;'>GREEN</p>","y","html-keyboard-response","25","221025","0.0-2.0-1.11","stroop","y","GREEN","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","223027","0.0-2.0-0.12","fixation","","","","",""
"595","<p style='color:red;font-size:60pt;'>RED</p>","r","html-keyboard-response","27","223624","0.0-2.0-1.12","stroop","r","RED","red","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","225627","0.0-2.0-0.13","fixation","","","","",""
"899","<p style='color:green;font-size:60pt;'>RED</p>","g","html-keyboard-response","29","226527","0.0-2.0-1.13","stroop","g","RED","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","227529","0.0-2.0-0.14","fixation","","","","",""
"683","<p style='color:blue;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","31","228214","0.0-2.0-1.14","stroop","b","BLUE","blue","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","230216","0.0-2.0-0.15","fixation","","","","",""
"1552","<p style='color:green;font-size:60pt;'>YELLOW</p>","g","html-keyboard-response","33","231769","0.0-2.0-1.15","stroop","g","YELLOW","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","232772","0.0-2.0-0.16","fixation","","","","",""
"593","<p style='color:yellow;font-size:60pt;'>RED</p>","y","html-keyboard-response","35","233365","0.0-2.0-1.16","stroop","y","RED","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","235368","0.0-2.0-0.17","fixation","","","","",""
"855","<p style='color:green;font-size:60pt;'>RED</p>","g","html-keyboard-response","37","236224","0.0-2.0-1.17","stroop","g","RED","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","238226","0.0-2.0-0.18","fixation","","","","",""
"629","<p style='color:red;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","39","238857","0.0-2.0-1.18","stroop","r","YELLOW","red","Incongruent","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","239859","0.0-2.0-0.19","fixation","","","","",""
"571","<p style='color:yellow;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","41","240431","0.0-2.0-1.19","stroop","y","BLUE","yellow","Incongruent","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","241433","0.0-2.0-0.20","fixation","","","","",""
"1101","<p style='color:green;font-size:60pt;'>YELLOW</p>","g","html-keyboard-response","43","242536","0.0-2.0-1.20","stroop","g","YELLOW","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","244538","0.0-2.0-0.21","fixation","","","","",""
"640","<p style='color:blue;font-size:60pt;'>RED</p>","b","html-keyboard-response","45","245179","0.0-2.0-1.21","stroop","b","RED","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","247182","0.0-2.0-0.22","fixation","","","","",""
