"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","word","color","congruency","correct"
"550","<p style='color:yellow;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","81","94698","0.0-2.0-1.39","stroop","y","YELLOW","yellow","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","95700","0.0-2.0-0.40","fixation","","","","",""
"593","<p style='color:blue;font-size:60pt;'>GREEN</p>","b","html-keyboard-response","83","96294","0.0-2.0-1.40","stroop","b","GREEN","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","84","98296","0.0-2.0-0.41","fixation","","","","",""
"651","<p style='color:red;font-size:60pt;'>GREEN</p>","r","html-keyboard-response","85","98949","0.0-2.0-1.41","stroop","r","GREEN","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","86","99951","0.0-2.0-0.42","fixation","","","","",""
"593","<p style='color:blue;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","87","100546","0.0-2.0-1.42","stroop","b","YELLOW","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","101548","0.0-2.0-0.43","fixation","","","","",""
"617","<p style='color:green;font-size:60pt;'>BLUE</p>","g","html-keyboard-response","89","102166","0.0-2.0-1.43","stroop","g","BLUE","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","90","104168","0.0-2.0-0.44","fixation","","","","",""
"518","<p style='color:green;font-size:60pt;'>GREEN</p>","g","html-keyboard-response","91","104687","0.0-2.0-1.44","stroop","g","GREEN","green","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","92","106689","0.0-2.0-0.45","fixation","","","","",""
"798","<p style='color:blue;font-size:60pt;'>RED</p>","b","html-keyboard-response","93","107488","0.0-2.0-1.45","stroop","b","RED","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","108490","0.0-2.0-0.46","fixation","","","","",""
"560","<p style='color:yellow;font-size:60pt;'>GREEN</p>","y","html-keyboard-response","95","109051","0.0-2.0-1.46","stroop","y","GREEN","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","96","111053","0.0-2.0-0.47","fixation","","","","",""
"629","<p style='color:red;font-size:60pt;'>BLUE</p>","r","html-keyboard-response","97","111684","0.0-2.0-1.47","stroop","r","BLUE","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","98","113686","0.0-2.0-0.48","fixation","","","","",""
"674","<p style='color:green;font-size:60pt;'>RED</p>","g","html-keyboard-response","99","114361","0.0-2.0-1.48","stroop","g","RED","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","100","116363","0.0-2.0-0.49","fixation","","","","",""
"585","<p style='color:yellow;font-size:60pt;'>GREEN</p>","y","html-keyboard-response","101","116950","0.0-2.0-1.49","stroop","y","GREEN","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","102","117953","0.0-2.0-0.50","fixation","","","","",""
"649","<p style='color:red;font-size:60pt;'>GREEN</p>","g","html-keyboard-response","103","118603","0.0-2.0-1.50","stroop","r","GREEN","red","Incongruent","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","104","119605","0.0-2.0-0.51","fixation","","","","",""
"988","<p style='color:green;font-size:60pt;'>GREEN</p>","g","html-keyboard-response","105","120594","0.0-2.0-1.51","stroop","g","GREEN","green","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","106","121596","0.0-2.0-0.52","fixation","","","","",""
"1314","<p style='color:red;font-size:60pt;'>YELLOW</p>","r","html-keyboard-response","107","122912","0.0-2.0-1.52","stroop","r","YELLOW","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","108","123914","0.0-2.0-0.53","fixation","","","","",""
"593","<p style='color:blue;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","109","124509","0.0-2.0-1.53","stroop","b","BLUE","blue","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","110","126511","0.0-2.0-0.54","fixation","","","","",""
"584","<p style='color:yellow;font-size:60pt;'>BLUE</p>","y","html-keyboard-response","111","127097","0.0-2.0-1.54","stroop","y","BLUE","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","112","129099","0.0-2.0-0.55","fixation","","","","",""
"764","<p style='color:green;font-size:60pt;'>YELLOW</p>","g","html-keyboard-response","113","129865","0.0-2.0-1.55","stroop","g","YELLOW","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","114","131867","0.0-2.0-0.56","fixation","","","","",""
"563","<p style='color:blue;font-size:60pt;'>GREEN</p>","b","html-keyboard-response","115","132431","0.0-2.0-1.56","stroop","b","GREEN","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","116","133433","0.0-2.0-0.57","fixation","","","","",""
"661","<p style='color:red;font-size:60pt;'>BLUE</p>","r","html-keyboard-response","117","134095","0.0-2.0-1.57","stroop","r","BLUE","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","118","135097","0.0-2.0-0.58","fixation","","","","",""
"595","<p style='color:blue;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","119","135692","0.0-2.0-1.58","stroop","b","YELLOW","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","120","137695","0.0-2.0-0.59","fixation","","","","",""
"651","<p style='color:yellow;font-size:60pt;'>RED</p>","y","html-keyboard-response","121","138347","0.0-2.0-1.59","stroop","y","RED","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","122","140349","0.0-2.0-0.60","fixation","","","","",""
"606","<p style='color:yellow;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","123","140957","0.0-2.0-1.60","stroop","y","YELLOW","yellow","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","124","142959","0.0-2.0-0.61","fixation","","","","",""
"810","<p style='color:green;font-size:60pt;'>BLUE</p>","g","html-keyboard-response","125","143769","0.0-2.0-1.61","stroop","g","BLUE","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","126","144771","0.0-2.0-0.62","fixation","","","","",""
"551","<p style='color:blue;font-size:60pt;'>RED</p>","b","html-keyboard-response","127","145322","0.0-2.0-1.62","stroop","b","RED","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","128","147325","0.0-2.0-0.63","fixation","","","","",""
"697","<p style='color:red;font-size:60pt;'>RED</p>","r","html-keyboard-response","129","148022","0.0-2.0-1.63","stroop","r","RED","red","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","130","149024","0.0-2.0-0.64","fixation","","","","",""
"617","<p style='color:green;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","131","149641","0.0-2.0-1.64","stroop","g","YELLOW","green","Incongruent","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","132","151644","0.0-2.0-0.65","fixation","","","","",""
"765","<p style='color:red;font-size:60pt;'>GREEN</p>","r","html-keyboard-response","133","152409","0.0-2.0-1.65","stroop","r","GREEN","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","134","154412","0.0-2.0-0.66","fixation","","","","",""
"653","<p style='color:yellow;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","135","155065","0.0-2.0-1.66","stroop","y","YELLOW","yellow","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","136","156068","0.0-2.0-0.67","fixation","","","","",""
"683","<p style='color:blue;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","137","156751","0.0-2.0-1.67","stroop","b","BLUE","blue","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","138","157754","0.0-2.0-0.68","fixation","","","","",""
"774","<p style='color:green;font-size:60pt;'>BLUE</p>","g","html-keyboard-response","139","158529","0.0-2.0-1.68","stroop","g","BLUE","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","140","160532","0.0-2.0-0.69","fixation","","","","",""
"676","<p style='color:green;font-size:60pt;'>GREEN</p>","g","html-keyboard-response","141","161209","0.0-2.0-1.69","stroop","g","GREEN","green","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","142","163211","0.0-2.0-0.70","fixation","","","","",""
"672","<p style='color:blue;font-size:60pt;'>GREEN</p>","b","html-keyboard-response","143","163885","0.0-2.0-1.70","stroop","b","GREEN","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","144","164887","0.0-2.0-0.71","fixation","","","","",""
"751","<p style='color:blue;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","145","165640","0.0-2.0-1.71","stroop","b","YELLOW","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","146","167642","0.0-2.0-0.72","fixation","","","","",""
